[20190326_131944 / views.py:12018]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M5).(NumOfUnits-50000).(Bars-ALL-20190322_165334).20190322_165012.csv
slice by	through
this file	(20190326_131939).(USDJPY-M5).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	M5
start	2018.06.19 20:55
end	2019.03.22 10:50
total bars	50000

[20190326_131944 / views.py:12036]
[20190326_131944 / views.py:11765]==============================
average	0.055
max	0.441
min	-0.030
variance	0.0018785
std	0.04334
median	0.043

[20190326_131944 / views.py:11787]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
553	2018.11.12 07:45	0.018	41.56
554	2018.11.12 07:50	0.009	39.48
555	2018.11.12 20:45	0.070	53.56
556	2018.11.13 05:15	0.048	48.48
557	2018.11.13 05:20	0.088	57.71
558	2018.11.13 05:25	0.108	62.32
559	2018.11.13 05:40	0.089	57.94
560	2018.11.13 05:45	0.044	47.56
561	2018.11.13 09:50	0.051	49.17
562	2018.11.13 09:55	0.065	52.40
563	2018.11.13 10:00	0.044	47.56
564	2018.11.14 02:05	0.150	72.01
565	2018.11.14 09:40	0.018	41.56
566	2018.11.14 15:35	0.050	48.94
567	2018.11.14 15:40	0.021	42.25
568	2018.11.14 15:45	0.015	40.87
569	2018.11.14 15:50	0.035	45.48
570	2018.11.15 18:05	0.109	62.56
571	2018.11.15 20:25	0.098	60.02
572	2018.11.16 10:35	0.032	44.79
573	2018.11.16 10:55	0.051	49.17
574	2018.11.19 05:40	0.035	45.48
575	2018.11.19 05:45	0.018	41.56
576	2018.11.19 07:15	0.038	46.17
577	2018.11.19 21:35	0.026	43.41
578	2018.11.20 02:20	0.039	46.40
579	2018.11.20 02:25	0.013	40.41
580	2018.11.20 02:30	0.022	42.48
581	2018.11.20 16:10	0.058	50.79
582	2018.11.20 16:15	0.063	51.94
583	2018.11.20 17:30	0.049	48.71
