Pair=EURJPY;Period=M1;Days=25000;Shift=1;Bars=1500000;Time=20181208_073419
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;dateTime_Local
11584;128.502;128.506;128.501;128.505;47.90049184611673;26.20846165158828;128.5228907792034;128.5144203896019;128.5059500000005;128.4974796103991;128.4890092207976;0.002999999999985903;0.004999999999995453;2018.11.27 22:16;2018.11.28 05:16;103
11585;128.506;128.509;128.502;128.503;47.19261984244588;25.32817816435569;128.5260473095217;128.5165236547611;128.5070000000005;128.4974763452398;128.4879526904792;-0.003000000000014325;0.006999999999976581;2018.11.27 22:15;2018.11.28 05:15;104
11586;128.509;128.515;128.502;128.505;47.80972757357606;29.63245800046043;128.5292630911581;128.5187565455793;128.5082500000005;128.4977434544216;128.4872369088428;-0.003999999999990678;0.01299999999997681;2018.11.27 22:14;2018.11.28 05:14;105
11587;128.504;128.513;128.499;128.51;49.34211389005276;27.82662229954509;128.5310522829865;128.5201011414935;128.5091500000005;128.4981988585074;128.4872477170144;0.006000000000000227;0.01400000000001;2018.11.27 22:13;2018.11.28 05:13;106
11588;128.509;128.511;128.499;128.504;47.4209262738888;22.71788314144787;128.5334463672398;128.5217481836202;128.5100500000005;128.4983518163808;128.4866536327611;-0.004999999999995453;0.01200000000000045;2018.11.27 22:12;2018.11.28 05:12;107
11589;128.507;128.51;128.505;128.51;49.19328719013005;27.30959166055339;128.537192186308;128.5243960931542;128.5116000000004;128.4988039068467;128.4860078136929;0.002999999999985903;0.004999999999995453;2018.11.27 22:11;2018.11.28 05:11;108
11590;128.507;128.511;128.499;128.505;47.64415064132563;28.9273936600938;128.5385818508692;128.5254659254348;128.5123500000005;128.4992340745661;128.4861181491318;-0.00200000000000955;0.01200000000000045;2018.11.27 22:10;2018.11.28 05:10;109
11591;128.514;128.517;128.504;128.507;48.20265056728423;28.60891800032705;128.5393061061591;128.5262030530798;128.5131000000005;128.4999969469211;128.4868938938418;-0.007000000000005002;0.01300000000000523;2018.11.27 22:09;2018.11.28 05:09;110
11592;128.515;128.518;128.509;128.513;49.86869426383583;28.3882518203248;128.5409699552577;128.5275599776291;128.5141500000005;128.5007400223718;128.4873300447432;-0.001999999999981128;0.009000000000014552;2018.11.27 22:08;2018.11.28 05:08;111
11593;128.49;128.515;128.49;128.514;50.14310369572485;23.77112095291312;128.5425287962033;128.5287393981019;128.5149500000005;128.501160601899;128.4873712037976;0.02400000000000091;0.02499999999997726;2018.11.27 22:07;2018.11.28 05:07;112
11594;128.499;128.499;128.488;128.491;43.32945267866219;24.70916702098836;128.54633182783;128.5313409139152;128.5163500000004;128.5013590860857;128.4863681721709;-0.007999999999981355;0.01099999999999568;2018.11.27 22:06;2018.11.28 05:06;113
11595;128.514;128.518;128.495;128.498;45.11199773388582;28.96659265323632;128.5480957334782;128.5334478667393;128.5188000000005;128.5041521332616;128.4895042665227;-0.01600000000001955;0.02299999999999613;2018.11.27 22:05;2018.11.28 05:05;114
