[20190503_001757 / libfx_2.py:6507]
file(this)	data.[Sec_1_A12_Detect].[dp-mountain~list].(20190503_001459).dat
pair	AUDJPY
timeframe	M15
source	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
start	2019.04.10 02:45
end	2019.04.24 12:30
ratioOf_TS	0.300
lenOf_LO_BDs	1000

------------------------------
s.n.	BD.start	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	BD.anchor	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	BD.end(curr)	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	
74	2019.04.17 17:15	538	80.260	80.309	80.715	80.621	80.528	80.434	80.340	2019.04.17 17:45	540	80.342	80.384	80.707	80.605	80.504	80.402	80.300	2019.04.17 18:00	541	80.384	80.346	80.700	80.595	80.491	80.386	80.281
75	2019.04.17 19:15	546	80.210	80.220	80.667	80.536	80.405	80.274	80.143	2019.04.17 19:30	547	80.219	80.236	80.654	80.522	80.390	80.258	80.126	2019.04.17 19:45	548	80.234	80.224	80.644	80.510	80.376	80.242	80.108
76	2019.04.17 20:00	549	80.223	80.253	80.627	80.495	80.363	80.230	80.098	2019.04.17 20:30	551	80.287	80.339	80.578	80.459	80.340	80.221	80.102	2019.04.17 21:00	553	80.306	80.279	80.504	80.409	80.314	80.218	80.123
77	2019.04.17 21:15	554	80.281	80.283	80.436	80.367	80.298	80.229	80.160	2019.04.17 23:45	564	80.402	80.424	80.437	80.375	80.313	80.251	80.189	2019.04.18 00:15	566	80.391	80.373	80.440	80.385	80.330	80.274	80.219
78	2019.04.18 00:45	568	80.361	80.392	80.436	80.390	80.345	80.299	80.253	2019.04.18 01:00	569	80.392	80.410	80.438	80.395	80.352	80.310	80.267	2019.04.18 01:15	570	80.410	80.393	80.440	80.399	80.358	80.317	80.276
79	2019.04.18 02:00	573	80.366	80.387	80.436	80.401	80.367	80.333	80.299	2019.04.18 02:15	574	80.387	80.388	80.429	80.401	80.373	80.344	80.316	2019.04.18 02:45	576	80.382	80.344	80.419	80.398	80.378	80.357	80.337
80	2019.04.18 03:30	579	80.278	80.294	80.441	80.405	80.369	80.333	80.297	2019.04.18 03:30	579	80.278	80.294	80.441	80.405	80.369	80.333	80.297	2019.04.18 03:45	580	80.294	80.259	80.451	80.408	80.364	80.321	80.278
81	2019.04.18 04:30	583	80.195	80.351	80.466	80.406	80.346	80.286	80.225	2019.04.18 04:30	583	80.195	80.351	80.466	80.406	80.346	80.286	80.225	2019.04.18 04:45	584	80.349	80.253	80.458	80.398	80.337	80.277	80.216
82	2019.04.18 05:00	585	80.253	80.290	80.452	80.392	80.332	80.272	80.212	2019.04.18 06:00	589	80.371	80.399	80.445	80.387	80.329	80.271	80.214	2019.04.18 06:15	590	80.400	80.327	80.438	80.382	80.326	80.270	80.214
83	2019.04.18 07:00	593	80.271	80.323	80.421	80.368	80.315	80.261	80.208	2019.04.18 07:15	594	80.323	80.333	80.414	80.363	80.312	80.261	80.210	2019.04.18 07:45	596	80.328	80.302	80.403	80.355	80.307	80.259	80.211
