[20190311_150234 / views.py:11499]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190311_081323).20190311_081029.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-M15).(20190311_150231).csv
pair	AUDJPY
timeframe	M15
start	2018.06.14 17:30
end	2019.03.11 02:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190311_150234 / views.py:11591]
134	2018.08.31 00:00	2018.08.31 23:45	96	14	26	26	27	0.146	0.271	0.271	0.281
135	2018.08.30 00:00	2018.08.30 23:45	96	23	25	25	22	0.240	0.260	0.260	0.229
136	2018.08.29 00:00	2018.08.29 23:45	96	24	24	24	17	0.250	0.250	0.250	0.177
137	2018.08.28 00:00	2018.08.28 23:45	96	18	25	25	23	0.188	0.260	0.260	0.240
138	2018.08.27 00:00	2018.08.27 23:45	96	26	23	21	21	0.271	0.240	0.219	0.219
139	2018.08.24 00:00	2018.08.24 23:45	96	27	25	25	18	0.281	0.260	0.260	0.188
140	2018.08.23 00:00	2018.08.23 23:45	96	14	24	26	29	0.146	0.250	0.271	0.302
141	2018.08.22 00:00	2018.08.22 23:45	96	25	20	19	27	0.260	0.208	0.198	0.281
142	2018.08.21 00:00	2018.08.21 23:45	96	22	22	19	26	0.229	0.229	0.198	0.271
143	2018.08.20 00:00	2018.08.20 23:45	96	18	26	25	20	0.188	0.271	0.260	0.208
144	2018.08.17 00:00	2018.08.17 23:45	96	29	22	21	19	0.302	0.229	0.219	0.198
145	2018.08.16 00:00	2018.08.16 23:45	96	20	26	25	24	0.208	0.271	0.260	0.250
146	2018.08.15 00:00	2018.08.15 23:45	96	26	22	21	24	0.271	0.229	0.219	0.250
147	2018.08.14 00:00	2018.08.14 23:45	96	28	22	22	23	0.292	0.229	0.229	0.240
148	2018.08.13 00:00	2018.08.13 23:45	96	22	28	29	14	0.229	0.292	0.302	0.146
149	2018.08.10 00:00	2018.08.10 23:45	96	13	28	28	24	0.135	0.292	0.292	0.250
150	2018.08.09 00:00	2018.08.09 23:45	96	17	23	22	31	0.177	0.240	0.229	0.323
151	2018.08.08 00:00	2018.08.08 23:45	96	21	24	23	27	0.219	0.250	0.240	0.281
152	2018.08.07 00:00	2018.08.07 23:45	96	18	25	25	26	0.188	0.260	0.260	0.271
153	2018.08.06 00:00	2018.08.06 23:45	96	18	24	24	24	0.188	0.250	0.250	0.250
154	2018.08.03 00:00	2018.08.03 23:45	96	22	23	22	27	0.229	0.240	0.229	0.281
155	2018.08.02 00:00	2018.08.02 23:45	96	20	25	23	23	0.208	0.260	0.240	0.240
156	2018.08.01 00:00	2018.08.01 23:45	96	24	24	24	17	0.250	0.250	0.250	0.177
157	2018.07.31 00:00	2018.07.31 23:45	96	24	25	25	19	0.250	0.260	0.260	0.198
158	2018.07.30 00:00	2018.07.30 23:45	96	15	31	31	16	0.156	0.323	0.323	0.167
159	2018.07.27 00:00	2018.07.27 23:45	96	20	27	28	18	0.208	0.281	0.292	0.188
160	2018.07.26 00:00	2018.07.26 23:45	96	18	26	25	24	0.188	0.271	0.260	0.250
161	2018.07.25 00:00	2018.07.25 23:45	96	32	22	21	18	0.333	0.229	0.219	0.188
162	2018.07.24 00:00	2018.07.24 23:45	96	26	23	25	17	0.271	0.240	0.260	0.177
163	2018.07.23 00:00	2018.07.23 23:45	96	13	29	28	25	0.135	0.302	0.292	0.260
164	2018.07.20 00:00	2018.07.20 23:45	96	27	24	23	19	0.281	0.250	0.240	0.198
165	2018.07.19 00:00	2018.07.19 23:45	96	15	26	28	22	0.156	0.271	0.292	0.229
166	2018.07.18 00:00	2018.07.18 23:45	96	26	23	21	23	0.271	0.240	0.219	0.240
167	2018.07.17 00:00	2018.07.17 23:45	96	17	27	28	19	0.177	0.281	0.292	0.198
168	2018.07.16 00:00	2018.07.16 23:45	96	27	21	21	26	0.281	0.219	0.219	0.271
169	2018.07.13 00:00	2018.07.13 23:45	96	25	21	22	21	0.260	0.219	0.229	0.219
170	2018.07.12 00:00	2018.07.12 23:45	96	26	27	26	14	0.271	0.281	0.271	0.146
171	2018.07.11 00:00	2018.07.11 23:45	96	23	23	22	25	0.240	0.240	0.229	0.260
172	2018.07.10 00:00	2018.07.10 23:45	96	36	23	23	13	0.375	0.240	0.240	0.135
173	2018.07.09 00:00	2018.07.09 23:45	96	25	26	27	15	0.260	0.271	0.281	0.156
174	2018.07.06 00:00	2018.07.06 23:45	96	25	24	24	22	0.260	0.250	0.250	0.229
175	2018.07.05 00:00	2018.07.05 23:45	96	22	26	27	20	0.229	0.271	0.281	0.208
176	2018.07.04 00:00	2018.07.04 23:45	96	18	24	25	22	0.188	0.250	0.260	0.229
177	2018.07.03 00:00	2018.07.03 23:45	96	27	20	19	23	0.281	0.208	0.198	0.240
178	2018.07.02 00:00	2018.07.02 23:45	96	19	24	23	27	0.198	0.250	0.240	0.281
179	2018.06.29 00:00	2018.06.29 23:45	96	21	28	29	17	0.219	0.292	0.302	0.177
180	2018.06.28 00:00	2018.06.28 23:45	96	22	25	26	22	0.229	0.260	0.271	0.229
181	2018.06.27 00:00	2018.06.27 23:45	96	17	26	26	24	0.177	0.271	0.271	0.250
182	2018.06.26 00:00	2018.06.26 23:45	96	30	23	22	20	0.312	0.240	0.229	0.208
183	2018.06.25 00:00	2018.06.25 23:45	96	17	24	24	30	0.177	0.250	0.250	0.312
184	2018.06.22 00:00	2018.06.22 23:45	96	29	27	27	9	0.302	0.281	0.281	0.094
185	2018.06.21 00:00	2018.06.21 23:45	96	23	28	28	14	0.240	0.292	0.292	0.146
186	2018.06.20 00:00	2018.06.20 23:45	96	27	24	24	20	0.281	0.250	0.250	0.208
187	2018.06.19 00:00	2018.06.19 23:45	96	23	24	23	25	0.240	0.250	0.240	0.260
188	2018.06.18 00:00	2018.06.18 23:45	96	25	23	22	23	0.260	0.240	0.229	0.240
189	2018.06.15 00:00	2018.06.15 23:45	96	23	22	22	26	0.240	0.229	0.229	0.271
190	2018.06.14 17:30	2018.06.14 23:45	26	1	9	9	6	0.038	0.346	0.346	0.231


