[20190228_134909 / views.py:10271]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190228_134908.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190228_134909 / views.py:10280]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_1S
220	2019.01.31 14:30	2019.01.31 14:45	124.841	124.870	124.949
221	2019.01.31 15:30	2019.01.31 15:45	124.781	124.791	124.866
222	2019.01.31 16:30	2019.01.31 16:45	124.708	124.712	124.806
223	2019.01.31 16:45	2019.01.31 17:00	124.712	124.804	124.807
224	2019.01.31 17:00	2019.01.31 17:15	124.804	124.865	124.814
225	2019.01.31 17:15	2019.01.31 17:30	124.865	124.920	124.826
226	2019.01.31 19:45	2019.01.31 20:00	124.596	124.607	124.824
227	2019.01.31 20:30	2019.01.31 20:45	124.583	124.590	124.802
228	2019.01.31 21:15	2019.01.31 21:30	124.563	124.592	124.785
229	2019.01.31 21:30	2019.01.31 21:45	124.592	124.595	124.780
230	2019.01.31 22:15	2019.01.31 22:30	124.526	124.593	124.733
231	2019.01.31 22:30	2019.01.31 22:45	124.593	124.646	124.693
232	2019.01.31 22:45	2019.01.31 23:00	124.646	124.667	124.654
233	2019.01.31 23:00	2019.01.31 23:15	124.667	124.674	124.644
234	2019.01.30 00:15	2019.01.30 00:30	124.994	125.026	125.026
235	2019.01.30 00:30	2019.01.30 00:45	125.026	125.038	125.029
236	2019.01.30 00:45	2019.01.30 01:00	125.038	125.104	125.033
237	2019.01.30 01:00	2019.01.30 01:15	125.104	125.122	125.046
238	2019.01.30 03:45	2019.01.30 04:00	124.998	125.005	125.101
239	2019.01.30 04:00	2019.01.30 04:15	125.005	125.020	125.100
240	2019.01.30 05:00	2019.01.30 05:15	125.079	125.085	125.101
241	2019.01.30 05:15	2019.01.30 05:30	125.085	125.118	125.105
242	2019.01.30 09:30	2019.01.30 09:45	124.949	124.956	125.111
243	2019.01.30 10:15	2019.01.30 10:30	125.049	125.051	125.106
244	2019.01.30 11:15	2019.01.30 11:30	124.987	125.025	125.079
