[20190209_144139 / views.py:6892]
source csv	=	list_4-3.slice-by-day.(2019-01-23).20190206_135722.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-42.[tester-1].20190209_143838.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190209_143838
margin_SL=	0.020	margin_TP=	0.040	spread=	0.010

'============== SL ==============
s.n.	e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff	diff of idx
138	10434	1048	2019.01.23 17:38	1049	2019.01.23 17:39	124.896	124.873	-0.023	1
139	10430	1052	2019.01.23 17:42	1053	2019.01.23 17:43	124.902	124.879	-0.023	1
140	10423	1059	2019.01.23 17:49	1060	2019.01.23 17:50	124.869	124.813	-0.056	1
141	10420	1062	2019.01.23 17:52	1063	2019.01.23 17:53	124.852	124.809	-0.043	1
142	10412	1070	2019.01.23 18:00	1071	2019.01.23 18:01	124.768	124.733	-0.035	1
143	10407	1073	2019.01.23 18:03	1076	2019.01.23 18:06	124.765	124.712	-0.053	3
144	10404	1078	2019.01.23 18:08	1079	2019.01.23 18:09	124.775	124.741	-0.034	1
145	10396	1085	2019.01.23 18:15	1087	2019.01.23 18:17	124.819	124.785	-0.034	2
146	10392	1090	2019.01.23 18:20	1091	2019.01.23 18:21	124.797	124.745	-0.052	1
147	10387	1095	2019.01.23 18:25	1096	2019.01.23 18:26	124.770	124.715	-0.055	1
148	10383	1098	2019.01.23 18:28	1100	2019.01.23 18:30	124.751	124.725	-0.026	2
149	10380	1102	2019.01.23 18:32	1103	2019.01.23 18:33	124.770	124.749	-0.021	1
150	10378	1104	2019.01.23 18:34	1105	2019.01.23 18:35	124.771	124.735	-0.036	1
151	10375	1106	2019.01.23 18:36	1108	2019.01.23 18:38	124.755	124.729	-0.026	2
152	10372	1110	2019.01.23 18:40	1111	2019.01.23 18:41	124.744	124.718	-0.026	1
153	10370	1112	2019.01.23 18:42	1113	2019.01.23 18:43	124.738	124.702	-0.036	1
154	10368	1114	2019.01.23 18:44	1115	2019.01.23 18:45	124.734	124.692	-0.042	1
155	10364	1118	2019.01.23 18:48	1119	2019.01.23 18:49	124.688	124.643	-0.045	1
156	10360	1121	2019.01.23 18:51	1123	2019.01.23 18:53	124.685	124.643	-0.042	2
157	10350	1132	2019.01.23 19:02	1133	2019.01.23 19:03	124.696	124.665	-0.031	1
158	10348	1134	2019.01.23 19:04	1135	2019.01.23 19:05	124.689	124.649	-0.040	1
159	10345	1137	2019.01.23 19:07	1138	2019.01.23 19:08	124.697	124.625	-0.072	1
160	10341	1140	2019.01.23 19:10	1142	2019.01.23 19:12	124.667	124.645	-0.022	2
161	10339	1143	2019.01.23 19:13	1144	2019.01.23 19:14	124.677	124.631	-0.046	1
162	10337	1145	2019.01.23 19:15	1146	2019.01.23 19:16	124.671	124.628	-0.043	1
163	10319	1155	2019.01.23 19:25	1164	2019.01.23 19:34	124.723	124.702	-0.021	9
164	10314	1168	2019.01.23 19:38	1169	2019.01.23 19:39	124.710	124.677	-0.033	1
165	10312	1170	2019.01.23 19:40	1171	2019.01.23 19:41	124.705	124.679	-0.026	1
166	10298	1173	2019.01.23 19:43	1185	2019.01.23 19:55	124.704	124.678	-0.026	12
167	10290	1187	2019.01.23 19:57	1193	2019.01.23 20:03	124.701	124.673	-0.028	6
168	10251	1223	2019.01.23 20:33	1232	2019.01.23 20:42	124.802	124.777	-0.025	9
169	10245	1237	2019.01.23 20:47	1238	2019.01.23 20:48	124.791	124.762	-0.029	1
170	10241	1239	2019.01.23 20:49	1242	2019.01.23 20:52	124.785	124.764	-0.021	3
171	10237	1244	2019.01.23 20:54	1246	2019.01.23 20:56	124.792	124.755	-0.037	2
172	10234	1248	2019.01.23 20:58	1249	2019.01.23 20:59	124.770	124.747	-0.023	1
173	10219	1253	2019.01.23 21:03	1264	2019.01.23 21:14	124.817	124.781	-0.036	11
174	10216	1266	2019.01.23 21:16	1267	2019.01.23 21:17	124.801	124.778	-0.023	1
175	10214	1268	2019.01.23 21:18	1269	2019.01.23 21:19	124.794	124.762	-0.032	1
176	10203	1271	2019.01.23 21:21	1280	2019.01.23 21:30	124.785	124.752	-0.033	9
177	10200	1282	2019.01.23 21:32	1283	2019.01.23 21:33	124.764	124.744	-0.020	1
178	10196	1285	2019.01.23 21:35	1287	2019.01.23 21:37	124.776	124.747	-0.029	2
179	10192	1289	2019.01.23 21:39	1291	2019.01.23 21:41	124.776	124.749	-0.027	2
180	10180	1302	2019.01.23 21:52	1303	2019.01.23 21:53	124.753	124.725	-0.028	1
181	10089	1305	2019.01.23 21:55	1394	2019.01.23 23:24	124.739	124.715	-0.024	89
182	10063	1396	2019.01.23 23:26	1420	2019.01.23 23:50	124.727	124.707	-0.020	24
183	10060	1422	2019.01.23 23:52	1423	2019.01.23 23:53	124.729	124.708	-0.021	1
					-5.932

'============== TP ==============
s.n.	e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff	diff of idx
1	11441	33	2019.01.23 00:35	42	2019.01.23 00:44	124.218	124.260	0.042	9
2	11366	62	2019.01.23 01:04	117	2019.01.23 01:59	124.239	124.285	0.046	55
3	11363	118	2019.01.23 02:00	120	2019.01.23 02:02	124.274	124.315	0.041	2
4	11335	139	2019.01.23 02:21	148	2019.01.23 02:30	124.316	124.362	0.046	9
5	11300	177	2019.01.23 02:59	183	2019.01.23 03:05	124.366	124.413	0.047	6
6	11292	187	2019.01.23 03:09	191	2019.01.23 03:13	124.394	124.446	0.052	4
7	11290	192	2019.01.23 03:14	193	2019.01.23 03:15	124.455	124.522	0.067	1
8	11275	202	2019.01.23 03:24	208	2019.01.23 03:30	124.461	124.526	0.065	6
9	11260	218	2019.01.23 03:40	223	2019.01.23 03:45	124.524	124.578	0.054	5
10	11252	225	2019.01.23 03:47	231	2019.01.23 03:53	124.598	124.655	0.057	6
11	11202	269	2019.01.23 04:31	281	2019.01.23 04:43	124.604	124.647	0.043	12
12	11183	299	2019.01.23 05:01	300	2019.01.23 05:02	124.615	124.671	0.056	1
13	11181	301	2019.01.23 05:03	302	2019.01.23 05:04	124.681	124.755	0.074	1
14	11075	404	2019.01.23 06:46	408	2019.01.23 06:50	124.639	124.681	0.042	4
15	10987	469	2019.01.23 07:51	496	2019.01.23 08:18	124.607	124.648	0.041	27
16	10981	497	2019.01.23 08:19	502	2019.01.23 08:24	124.654	124.701	0.047	5
17	10944	530	2019.01.23 08:52	539	2019.01.23 09:01	124.681	124.754	0.073	9
18	10910	569	2019.01.23 09:31	573	2019.01.23 09:35	124.613	124.658	0.045	4
19	10867	612	2019.01.23 10:14	616	2019.01.23 10:18	124.419	124.461	0.042	4
20	10861	621	2019.01.23 10:23	622	2019.01.23 10:24	124.461	124.516	0.055	1
21	10846	634	2019.01.23 10:36	637	2019.01.23 10:39	124.480	124.527	0.047	3
22	10821	658	2019.01.23 11:00	662	2019.01.23 11:04	124.493	124.534	0.041	4
23	10810	669	2019.01.23 11:11	673	2019.01.23 11:15	124.507	124.577	0.070	4
24	10784	696	2019.01.23 11:38	699	2019.01.23 11:41	124.547	124.588	0.041	3
25	10740	733	2019.01.23 12:15	743	2019.01.23 12:25	124.521	124.576	0.055	10
26	10718	763	2019.01.23 12:45	765	2019.01.23 12:47	124.519	124.565	0.046	2
27	10698	778	2019.01.23 13:00	785	2019.01.23 13:07	124.521	124.585	0.064	7
28	10683	794	2019.01.23 13:16	800	2019.01.23 13:30	124.540	124.625	0.085	6
29	10665	805	2019.01.23 13:35	818	2019.01.23 13:48	124.593	124.637	0.044	13
30	10628	835	2019.01.23 14:05	855	2019.01.23 14:25	124.618	124.671	0.053	20
31	10585	891	2019.01.23 15:01	898	2019.01.23 15:08	124.641	124.682	0.041	7
