Pair=USDJPY;Period=M15;Days=9000;Shift=1;Bars=9000;Time=20181208_065354
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;dateTime_Local;s.n.
2460;113.038;113.064;113.0;113.007;67.36149223432373;59.60867736472648;113.020002646519;112.9078263232596;112.7956500000002;112.6834736767408;112.5712973534814;-0.0309999999999917;0.06399999999999295;2018.11.02 08:30;2018.11.02 15:30;62
2461;113.045;113.1;113.023;113.037;70.40482473730944;61.53063015936191;112.99017365824;112.8885118291201;112.7868500000002;112.6851881708804;112.5835263417605;-0.007999999999995566;0.07699999999999818;2018.11.02 08:15;2018.11.02 15:15;63
2462;112.953;113.09;112.953;113.044;71.11704081428115;60.52653591472878;112.9454567280792;112.8608283640397;112.7762000000002;112.6915716359608;112.6069432719213;0.09099999999999397;0.1370000000000005;2018.11.02 08:00;2018.11.02 15:00;64
2463;112.731;113.003;112.731;112.952;66.94157532920154;58.24810437007591;112.8809298596777;112.822314929839;112.7637000000002;112.7050850701615;112.6464701403228;0.2210000000000036;0.2720000000000056;2018.11.02 07:45;2018.11.02 14:45;65
2464;112.709;112.742;112.705;112.731;50.66593047384743;52.84445119796474;112.8325034503647;112.7926517251825;112.7528000000002;112.712948274818;112.6730965496358;0.02199999999999136;0.03700000000000614;2018.11.02 07:30;2018.11.02 14:30;66
2465;112.695;112.715;112.672;112.709;48.25678239855433;49.38960202625096;112.8409129114837;112.794681455742;112.7484500000003;112.7022185442585;112.6559870885168;0.01400000000001;0.04300000000000637;2018.11.02 07:15;2018.11.02 14:15;67
2466;112.696;112.709;112.683;112.695;46.68275154315161;48.34250759150351;112.8447646898899;112.7954073449451;112.7460500000003;112.6966926550555;112.6473353101107;-0.001000000000004775;0.02599999999999625;2018.11.02 07:00;2018.11.02 14:00;68
2467;112.704;112.71;112.655;112.695;46.68275154315161;47.49306161843995;112.8482871814664;112.7961685907333;112.7440500000003;112.6919314092672;112.6398128185342;-0.009000000000000341;0.05499999999999261;2018.11.02 06:45;2018.11.02 13:45;69
2468;112.719;112.726;112.703;112.705;47.61651438161414;51.40803727987321;112.852306721441;112.7969783607206;112.7416500000003;112.6863216392799;112.6309932785596;-0.01399999999999579;0.02299999999999613;2018.11.02 06:30;2018.11.02 13:30;70
2469;112.725;112.728;112.715;112.721;49.10961919146786;54.43291111618092;112.8608046407528;112.7988523203765;112.7369000000003;112.6749476796241;112.6129953592478;-0.003999999999990678;0.01299999999999102;2018.11.02 06:15;2018.11.02 13:15;71
2470;112.747;112.754;112.716;112.725;49.4780952539063;53.61305933756162;112.8746187702394;112.8017593851199;112.7289000000003;112.6560406148807;112.5831812297612;-0.02200000000000557;0.03800000000001091;2018.11.02 06:00;2018.11.02 13:00;72
2471;112.767;112.78;112.748;112.748;51.59266556189433;51.20964960908388;112.8795088686651;112.8009294343327;112.7223500000003;112.6437705656679;112.5651911313355;-0.01899999999999125;0.03199999999999648;2018.11.02 05:45;2018.11.02 12:45;73
2472;112.768;112.773;112.754;112.763;52.99592729209489;47.80346966049121;112.8771941391729;112.7973220695866;112.7174500000003;112.637577930414;112.5577058608277;-0.004999999999995453;0.01899999999999125;2018.11.02 05:30;2018.11.02 12:30;74
2473;112.754;112.769;112.741;112.767;53.36362282887007;50.92077812461429;112.8723809060969;112.7926154530486;112.7128500000003;112.633084546952;112.5533190939037;0.01299999999999102;0.0280000000000058;2018.11.02 05:15;2018.11.02 12:15;75
2474;112.736;112.757;112.708;112.754;52.34272558877825;47.96146300458729;112.8666060300369;112.7870030150186;112.7074000000003;112.627796984982;112.5481939699637;0.01800000000000068;0.04900000000000659;2018.11.02 05:00;2018.11.02 12:00;76
2475;112.754;112.758;112.713;112.735;50.84881335043918;42.04848649950273;112.8616745096104;112.7823372548054;112.7030000000003;112.6236627451953;112.5443254903902;-0.01900000000000546;0.04500000000000171;2018.11.02 04:45;2018.11.02 11:45;77
2476;112.797;112.811;112.749;112.756;52.57943073968764;45.39939186309563;112.8593440188744;112.7803470094374;112.7013500000003;112.6223529905632;112.5433559811262;-0.04099999999999682;0.06200000000001182;2018.11.02 04:30;2018.11.02 11:30;78
2477;112.766;112.808;112.761;112.798;56.21458504930664;47.05238301233891;112.8535718477605;112.7746109238804;112.6956500000003;112.6166890761202;112.5377281522401;0.03199999999999648;0.04700000000001125;2018.11.02 04:15;2018.11.02 11:15;79
2478;112.804;112.804;112.761;112.769;54.13457864751187;43.52078133502179;112.8411296736967;112.7657398368485;112.6903500000003;112.6149601631521;112.5395703263039;-0.03499999999999659;0.04300000000000637;2018.11.02 04:00;2018.11.02 11:00;80
2479;112.828;112.847;112.78;112.802;57.06510314118774;47.28552471491053;112.8343284713538;112.760914235677;112.6875000000003;112.6140857643236;112.5406715286468;-0.02599999999999625;0.06699999999999307;2018.11.02 03:45;2018.11.02 10:45;81
2480;112.824;112.841;112.782;112.831;59.76615924959862;53.04750882943676;112.8194539252629;112.7508269626316;112.6822000000003;112.613573037369;112.5449460747377;0.007000000000005002;0.0589999999999975;2018.11.02 03:30;2018.11.02 10:30;82
2481;112.793;112.845;112.786;112.824;59.32467246770224;57.85873036237885;112.7930742628521;112.7335121314262;112.6739500000003;112.6143878685744;112.5548257371484;0.0309999999999917;0.0589999999999975;2018.11.02 03:15;2018.11.02 10:15;83
