Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
315;126.556;126.559;126.329;126.46;50.4581140149;63.577293695;126.8177400692;126.5996700346;126.3816;126.1635299654;125.9454599308;-0.096;0.23;2018.08.14 14:00;2018.08.14 21:00;82
316;126.511;126.782;126.482;126.559;52.0879699835;62.3837538868;126.8151071361;126.589228568;126.36335;126.137471432;125.9115928639;0.048;0.3;2018.08.14 13:00;2018.08.14 20:00;83
317;126.414;126.639;126.258;126.51;51.3490558439;56.0434346217;126.8046729969;126.5818114985;126.35895;126.1360885015;125.9132270031;0.096;0.381;2018.08.14 12:00;2018.08.14 19:00;84
318;126.908;126.983;126.392;126.42;50.0036358981;63.2298913794;126.8451999024;126.6081749512;126.37115;126.1341250488;125.8971000976;-0.488;0.591;2018.08.14 11:00;2018.08.14 18:00;85
319;126.868;126.99;126.736;126.91;58.3497151657;71.9070275342;126.8469295819;126.6096147909;126.3723;126.1349852091;125.8976704181;0.042;0.254;2018.08.14 10:00;2018.08.14 17:00;86
320;126.463;126.886;126.412;126.868;57.7758382264;71.6434742663;126.7549511505;126.5420005753;126.32905;126.1160994247;125.9031488495;0.405;0.474;2018.08.14 09:00;2018.08.14 16:00;87
321;126.357;126.535;126.264;126.462;51.65916477;65.6541604361;126.7291681864;126.4972590932;126.26535;126.0334409068;125.8015318136;0.105;0.271;2018.08.14 08:00;2018.08.14 15:00;88
322;126.462;126.52;126.342;126.357;49.875168016;65.9011343885;126.7550857682;126.4892678841;126.22345;125.9576321159;125.6918142318;-0.105;0.178;2018.08.14 07:00;2018.08.14 14:00;89
323;126.42;126.565;126.348;126.463;51.7051808828;70.0401896132;126.7739433378;126.4804966689;126.18705;125.8936033311;125.6001566622;0.043;0.217;2018.08.14 06:00;2018.08.14 13:00;90
324;126.367;126.472;126.262;126.419;50.9961413228;63.2252548582;126.8104951375;126.4705225687;126.13055;125.7905774313;125.4506048625;0.052;0.21;2018.08.14 05:00;2018.08.14 12:00;91
325;126.328;126.483;126.237;126.368;50.1909119317;64.3049337568;126.792047164;126.441198582;126.09035;125.739501418;125.388652836;0.04;0.246;2018.08.14 04:00;2018.08.14 11:00;92
326;126.123;126.407;126.045;126.327;49.5578883563;65.3418868271;126.7779719522;126.4133109761;126.04865;125.6839890239;125.3193280478;0.204;0.362;2018.08.14 03:00;2018.08.14 10:00;93
327;126.276;126.282;126.088;126.122;46.3171778057;60.7473052345;126.7964001042;126.3944750521;125.99255;125.5906249479;125.1886998958;-0.154;0.194;2018.08.14 02:00;2018.08.14 09:00;94
328;126.302;126.332;126.262;126.275;48.5277159319;63.8524915688;126.7950250952;126.3766125476;125.9582;125.5397874524;125.1213749048;-0.027;0.07;2018.08.14 01:00;2018.08.14 08:00;95
329;126.269;126.336;126.219;126.298;48.8607402699;59.8446894371;126.7768396606;126.3439698303;125.9111;125.4782301697;125.0453603394;0.029;0.117;2018.08.14 00:00;2018.08.14 07:00;96
330;126.087;126.332;126.064;126.325;49.2375674716;54.7228264901;126.7419188096;126.3033094048;125.8647;125.4260905952;124.9874811904;0.238;0.268;2018.08.13 23:00;2018.08.14 06:00;97
331;126.105;126.145;126.03;126.087;45.7328241076;51.319218845;126.6872414088;126.2605707044;125.8339;125.4072292956;124.9805585912;-0.018;0.115;2018.08.13 22:00;2018.08.14 05:00;98
332;126.165;126.262;126.101;126.103;45.9353719705;54.8224887573;126.6842662825;126.2583831412;125.8325;125.4066168588;124.9807337175;-0.062;0.161;2018.08.13 21:00;2018.08.14 04:00;99
333;126.135;126.228;125.974;126.163;46.6717634038;54.9523576078;126.6790699406;126.2545849703;125.8301;125.4056150297;124.9811300594;0.028;0.254;2018.08.13 20:00;2018.08.14 03:00;100
334;126.094;126.184;125.971;126.136;46.3037688311;52.3538366563;126.6474196561;126.229859828;125.8123;125.394740172;124.9771803439;0.042;0.213;2018.08.13 19:00;2018.08.14 02:00;101
335;126.472;126.492;126.086;126.095;45.7638647335;55.4306209017;126.7082480844;126.2694240422;125.8306;125.3917759578;124.9529519156;-0.377;0.406;2018.08.13 18:00;2018.08.14 01:00;102
336;126.755;126.775;126.412;126.471;50.1576363053;60.5319032283;126.7418274054;126.2923887027;125.84295;125.3935112973;124.9440725946;-0.284;0.363;2018.08.13 17:00;2018.08.14 00:00;103
337;126.438;126.781;126.407;126.754;53.8547334108;65.2698635408;126.6852869125;126.2548684563;125.82445;125.3940315437;124.9636130875;0.316;0.374;2018.08.13 16:00;2018.08.13 23:00;104
338;126.047;126.541;125.851;126.443;50.0077142594;60.5247886042;126.5421724361;126.164761218;125.78735;125.409938782;125.0325275639;0.396;0.69;2018.08.13 15:00;2018.08.13 22:00;105
339;125.596;126.335;125.488;126.045;44.3692852448;53.8772907432;126.5011409599;126.1391454799;125.77715;125.4151545201;125.0531590401;0.449;0.847;2018.08.13 14:00;2018.08.13 21:00;106
340;125.623;125.734;125.578;125.594;36.6814683;47.6761673254;126.5112944324;126.1461222162;125.78095;125.4157777838;125.0506055676;-0.029;0.156;2018.08.13 13:00;2018.08.13 20:00;107
341;125.631;125.755;125.563;125.624;37.0046246659;45.8825130603;126.6301596564;126.2299048282;125.82965;125.4293951718;125.0291403436;-0.007;0.192;2018.08.13 12:00;2018.08.13 19:00;108
342;125.333;125.658;125.202;125.629;37.0563139571;39.5155066642;126.7280926248;126.3019213124;125.87575;125.4495786876;125.0234073752;0.296;0.456;2018.08.13 11:00;2018.08.13 18:00;109
343;125.616;125.692;125.265;125.333;31.690025579;32.7599658494;126.9379707018;126.4429603509;125.94795;125.4529396491;124.9579292982;-0.283;0.427;2018.08.13 10:00;2018.08.13 17:00;110
344;125.533;125.864;125.467;125.615;34.3397450987;33.5436319927;127.1245869794;126.5825184897;126.04045;125.4983815103;124.9563130206;0.082;0.397;2018.08.13 09:00;2018.08.13 16:00;111
345;125.205;125.776;125.205;125.534;32.806671567;32.4206499726;127.2896530726;126.7040265363;126.1184;125.5327734637;124.9471469274;0.329;0.571;2018.08.13 08:00;2018.08.13 15:00;112
346;125.438;125.472;125.142;125.205;26.1535656739;31.251337112;127.4170922206;126.8077961103;126.1985;125.5892038897;124.9799077794;-0.233;0.33;2018.08.13 07:00;2018.08.13 14:00;113
347;125.336;125.577;125.322;125.435;27.9944466615;30.7832639831;127.4678842834;126.8785421417;126.2892;125.6998578583;125.1105157166;0.099;0.255;2018.08.13 06:00;2018.08.13 13:00;114
348;125.37;125.504;125.247;125.333;25.7939011933;25.8270964051;127.4988072055;126.9302286027;126.36165;125.7930713973;125.2244927945;-0.037;0.257;2018.08.13 05:00;2018.08.13 12:00;115
349;125.71;125.784;125.258;125.37;26.0684405194;24.9664616426;127.5652590219;127.0127795109;126.4603;125.9078204891;125.3553409781;-0.34;0.526;2018.08.13 04:00;2018.08.13 11:00;116
350;126.064;126.147;125.708;125.709;28.7300578203;24.8096445171;127.5855706098;127.0693353049;126.5531;126.0368646951;125.5206293902;-0.355;0.439;2018.08.13 03:00;2018.08.13 10:00;117
351;126.056;126.223;125.988;126.059;31.9273750244;25.1641245039;127.6981465349;127.1727232675;126.6473;126.1218767325;125.5964534651;0.003;0.235;2018.08.13 02:00;2018.08.13 09:00;118
352;125.806;126.225;125.773;126.055;31.8450252644;21.9950626585;127.8748656877;127.3059828438;126.7371;126.1682171562;125.5993343123;0.249;0.452;2018.08.13 01:00;2018.08.13 08:00;119
353;125.683;125.9;125.62;125.807;26.6161844085;19.1525354399;128.0330664712;127.4317082356;126.83035;126.2289917644;125.6276335288;0.124;0.28;2018.08.13 00:00;2018.08.13 07:00;120
