[20190307_154009 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190307_151905).20190307_144106.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-H1).(20190307_154007).csv
pair	EURJPY
timeframe	H1
start	2017.10.23 07:00
end	2019.03.07 07:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190307_154009 / views.py:11613]
135	2018.08.28 00:00	2018.08.28 23:00	24	7	5	6	5	0.292	0.208	0.250	0.208
136	2018.08.27 00:00	2018.08.27 23:00	24	8	4	3	6	0.333	0.167	0.125	0.250
137	2018.08.24 00:00	2018.08.24 23:00	24	12	4	4	3	0.500	0.167	0.167	0.125
138	2018.08.23 00:00	2018.08.23 23:00	24	8	5	6	4	0.333	0.208	0.250	0.167
139	2018.08.22 00:00	2018.08.22 23:00	24	9	5	5	4	0.375	0.208	0.208	0.167
140	2018.08.21 00:00	2018.08.21 23:00	24	8	6	5	4	0.333	0.250	0.208	0.167
141	2018.08.20 00:00	2018.08.20 23:00	24	5	6	7	5	0.208	0.250	0.292	0.208
142	2018.08.17 00:00	2018.08.17 23:00	24	7	8	7	1	0.292	0.333	0.292	0.042
143	2018.08.16 00:00	2018.08.16 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
144	2018.08.15 00:00	2018.08.15 23:00	24	10	3	3	7	0.417	0.125	0.125	0.292
145	2018.08.14 00:00	2018.08.14 23:00	24	7	6	5	5	0.292	0.250	0.208	0.208
146	2018.08.13 00:00	2018.08.13 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
147	2018.08.10 00:00	2018.08.10 23:00	24	5	5	6	7	0.208	0.208	0.250	0.292
148	2018.08.09 00:00	2018.08.09 23:00	24	4	4	4	11	0.167	0.167	0.167	0.458
149	2018.08.08 00:00	2018.08.08 23:00	24	5	5	5	8	0.208	0.208	0.208	0.333
150	2018.08.07 00:00	2018.08.07 23:00	24	6	8	7	2	0.250	0.333	0.292	0.083
151	2018.08.06 00:00	2018.08.06 23:00	24	4	7	6	6	0.167	0.292	0.250	0.250
152	2018.08.03 00:00	2018.08.03 23:00	24	5	6	5	7	0.208	0.250	0.208	0.292
153	2018.08.02 00:00	2018.08.02 23:00	24	3	6	6	8	0.125	0.250	0.250	0.333
154	2018.08.01 00:00	2018.08.01 23:00	24	5	4	6	6	0.208	0.167	0.250	0.250
155	2018.07.31 00:00	2018.07.31 23:00	24	3	5	6	7	0.125	0.208	0.250	0.292
156	2018.07.30 00:00	2018.07.30 23:00	24	7	7	7	2	0.292	0.292	0.292	0.083
157	2018.07.27 00:00	2018.07.27 23:00	24	5	6	6	6	0.208	0.250	0.250	0.250
158	2018.07.26 00:00	2018.07.26 23:00	24	1	7	7	8	0.042	0.292	0.292	0.333
159	2018.07.25 00:00	2018.07.25 23:00	24	8	5	4	6	0.333	0.208	0.167	0.250
160	2018.07.24 00:00	2018.07.24 23:00	24	3	8	8	4	0.125	0.333	0.333	0.167
161	2018.07.23 00:00	2018.07.23 23:00	24	2	7	7	7	0.083	0.292	0.292	0.292
162	2018.07.20 00:00	2018.07.20 23:00	24	6	6	5	6	0.250	0.250	0.208	0.250
163	2018.07.19 00:00	2018.07.19 23:00	24	2	5	6	10	0.083	0.208	0.250	0.417
164	2018.07.18 00:00	2018.07.18 23:00	24	7	5	4	7	0.292	0.208	0.167	0.292
165	2018.07.17 00:00	2018.07.17 23:00	24	8	6	7	2	0.333	0.250	0.292	0.083
166	2018.07.16 00:00	2018.07.16 23:00	24	6	7	6	4	0.250	0.292	0.250	0.167
167	2018.07.13 00:00	2018.07.13 23:00	24	5	5	6	7	0.208	0.208	0.250	0.292
168	2018.07.12 00:00	2018.07.12 23:00	24	7	7	7	2	0.292	0.292	0.292	0.083
169	2018.07.11 00:00	2018.07.11 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
170	2018.07.10 00:00	2018.07.10 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
171	2018.07.09 00:00	2018.07.09 23:00	24	7	8	8	0	0.292	0.333	0.333	0.000
172	2018.07.06 00:00	2018.07.06 23:00	24	3	8	8	4	0.125	0.333	0.333	0.167
173	2018.07.05 00:00	2018.07.05 23:00	24	5	6	6	6	0.208	0.250	0.250	0.250
174	2018.07.04 00:00	2018.07.04 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
175	2018.07.03 00:00	2018.07.03 23:00	24	4	6	6	7	0.167	0.250	0.250	0.292
176	2018.07.02 00:00	2018.07.02 23:00	24	6	4	5	8	0.250	0.167	0.208	0.333
177	2018.06.29 00:00	2018.06.29 23:00	24	2	8	9	4	0.083	0.333	0.375	0.167
178	2018.06.28 00:00	2018.06.28 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
179	2018.06.27 00:00	2018.06.27 23:00	24	4	6	7	6	0.167	0.250	0.292	0.250
180	2018.06.26 00:00	2018.06.26 23:00	24	3	6	6	8	0.125	0.250	0.250	0.333
181	2018.06.25 00:00	2018.06.25 23:00	24	4	6	6	7	0.167	0.250	0.250	0.292
182	2018.06.22 00:00	2018.06.22 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
183	2018.06.21 00:00	2018.06.21 23:00	24	4	8	8	3	0.167	0.333	0.333	0.125
184	2018.06.20 00:00	2018.06.20 23:00	24	6	7	7	3	0.250	0.292	0.292	0.125
185	2018.06.19 00:00	2018.06.19 23:00	24	6	4	5	8	0.250	0.167	0.208	0.333
186	2018.06.18 00:00	2018.06.18 23:00	24	9	5	5	4	0.375	0.208	0.208	0.167
187	2018.06.15 00:00	2018.06.15 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
188	2018.06.14 00:00	2018.06.14 23:00	24	1	6	6	10	0.042	0.250	0.250	0.417
189	2018.06.13 00:00	2018.06.13 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
190	2018.06.12 00:00	2018.06.12 23:00	24	4	7	6	6	0.167	0.292	0.250	0.250
191	2018.06.11 00:00	2018.06.11 23:00	24	6	6	7	4	0.250	0.250	0.292	0.167
192	2018.06.08 00:00	2018.06.08 23:00	24	4	8	8	3	0.167	0.333	0.333	0.125
193	2018.06.07 00:00	2018.06.07 23:00	24	6	6	7	4	0.250	0.250	0.292	0.167
194	2018.06.06 00:00	2018.06.06 23:00	24	6	8	8	1	0.250	0.333	0.333	0.042
195	2018.06.05 00:00	2018.06.05 23:00	24	5	7	7	4	0.208	0.292	0.292	0.167
196	2018.06.04 00:00	2018.06.04 23:00	24	7	6	5	2	0.292	0.250	0.208	0.083
197	2018.06.01 00:00	2018.06.01 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
198	2018.05.31 00:00	2018.05.31 23:00	24	8	5	5	5	0.333	0.208	0.208	0.208
