[20190327_172320 / views.py:13670]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M5).(NumOfUnits-8000).(Bars-ALL-20190326_110835).20190307_094255.csv
slice by	through
this file	(20190327_172311).(EURJPY-M5).[sec-1.A-6.3-seq].(20190327_172320).csv
pair	EURJPY
timeframe	M5
start	2018.05.18 04:55
end	2019.03.26 05:00
bars	58414

[20190327_172320 / views.py:13739]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
192	2018.05.28 04:05	2018.05.28 04:10	2018.05.28 04:15	0.114	0.004	0.009
193	2018.05.28 04:10	2018.05.28 04:15	2018.05.28 04:20	0.004	0.009	0.016
194	2018.05.28 05:25	2018.05.28 05:30	2018.05.28 05:35	0.000	0.021	0.007
195	2018.05.28 05:30	2018.05.28 05:35	2018.05.28 05:40	0.021	0.007	0.029
196	2018.05.28 05:35	2018.05.28 05:40	2018.05.28 05:45	0.007	0.029	0.023
197	2018.05.28 05:40	2018.05.28 05:45	2018.05.28 05:50	0.029	0.023	0.001
198	2018.05.28 05:45	2018.05.28 05:50	2018.05.28 05:55	0.023	0.001	0.026
199	2018.05.28 05:50	2018.05.28 05:55	2018.05.28 06:00	0.001	0.026	0.049
200	2018.05.28 05:55	2018.05.28 06:00	2018.05.28 06:05	0.026	0.049	0.013
201	2018.05.28 06:35	2018.05.28 06:40	2018.05.28 06:45	0.005	0.052	0.004
202	2018.05.28 06:40	2018.05.28 06:45	2018.05.28 06:50	0.052	0.004	0.015
203	2018.05.28 06:45	2018.05.28 06:50	2018.05.28 06:55	0.004	0.015	0.017
204	2018.05.28 06:50	2018.05.28 06:55	2018.05.28 07:00	0.015	0.017	0.006
205	2018.05.28 06:55	2018.05.28 07:00	2018.05.28 07:05	0.017	0.006	0.012
206	2018.05.28 07:00	2018.05.28 07:05	2018.05.28 07:10	0.006	0.012	0.008
207	2018.05.28 08:05	2018.05.28 08:10	2018.05.28 08:15	0.003	0.020	0.055
208	2018.05.28 08:10	2018.05.28 08:15	2018.05.28 08:20	0.020	0.055	0.013
209	2018.05.28 08:15	2018.05.28 08:20	2018.05.28 08:25	0.055	0.013	0.010
210	2018.05.28 08:20	2018.05.28 08:25	2018.05.28 08:30	0.013	0.010	0.013
211	2018.05.28 08:25	2018.05.28 08:30	2018.05.28 08:35	0.010	0.013	0.023
212	2018.05.28 08:45	2018.05.28 08:50	2018.05.28 08:55	0.104	0.029	0.001
213	2018.05.28 10:45	2018.05.28 10:50	2018.05.28 10:55	0.002	0.019	0.041
214	2018.05.28 10:50	2018.05.28 10:55	2018.05.28 11:00	0.019	0.041	0.009
215	2018.05.28 16:15	2018.05.28 16:20	2018.05.28 16:25	0.077	0.027	0.002
216	2018.05.28 17:00	2018.05.28 17:05	2018.05.28 17:10	0.016	0.019	0.010
217	2018.05.28 17:05	2018.05.28 17:10	2018.05.28 17:15	0.019	0.010	0.073
218	2018.05.28 17:10	2018.05.28 17:15	2018.05.28 17:20	0.010	0.073	0.062
219	2018.05.28 18:40	2018.05.28 18:45	2018.05.28 18:50	0.003	0.012	0.002
220	2018.05.28 18:45	2018.05.28 18:50	2018.05.28 18:55	0.012	0.002	0.022
