[20190311_090203 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190311_090135).20190311_090020.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-H1).(20190311_090201).csv
pair	AUDJPY
timeframe	H1
start	2017.11.21 10:00
end	2019.03.11 03:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190311_090203 / views.py:11613]
242	2018.04.03 00:00	2018.04.03 23:00	24	9	5	5	4	0.375	0.208	0.208	0.167
243	2018.04.02 00:00	2018.04.02 23:00	24	4	7	6	6	0.167	0.292	0.250	0.250
244	2018.03.30 00:00	2018.03.30 23:00	24	6	7	7	3	0.250	0.292	0.292	0.125
245	2018.03.29 00:00	2018.03.29 23:00	24	3	6	6	8	0.125	0.250	0.250	0.333
246	2018.03.28 00:00	2018.03.28 23:00	24	7	8	7	1	0.292	0.333	0.292	0.042
247	2018.03.27 00:00	2018.03.27 23:00	24	3	7	6	7	0.125	0.292	0.250	0.292
248	2018.03.26 00:00	2018.03.26 23:00	24	10	5	5	3	0.417	0.208	0.208	0.125
249	2018.03.23 00:00	2018.03.23 23:00	24	9	6	5	3	0.375	0.250	0.208	0.125
250	2018.03.22 00:00	2018.03.22 23:00	24	2	7	6	8	0.083	0.292	0.250	0.333
251	2018.03.21 00:00	2018.03.21 23:00	24	7	7	7	2	0.292	0.292	0.292	0.083
252	2018.03.20 00:00	2018.03.20 23:00	24	3	7	8	5	0.125	0.292	0.333	0.208
253	2018.03.19 00:00	2018.03.19 23:00	24	7	6	5	5	0.292	0.250	0.208	0.208
254	2018.03.16 00:00	2018.03.16 23:00	24	3	6	5	9	0.125	0.250	0.208	0.375
