Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
832;131.565;131.644;131.532;131.634;62.4285373936;71.0999241852;131.7120561118;131.5717530559;131.43145;131.2911469441;131.1508438882;0.069;0.112;2018.07.16 16:00;2018.07.16 23:00;104
833;131.597;131.674;131.549;131.561;60.0850536861;66.3931445925;131.6909804264;131.5504902132;131.41;131.2695097868;131.1290195736;-0.036;0.125;2018.07.16 15:00;2018.07.16 22:00;105
834;131.63;131.695;131.574;131.595;61.7903673667;72.9941662282;131.6742057788;131.5345778894;131.39495;131.2553221106;131.1156942212;-0.035;0.121;2018.07.16 14:00;2018.07.16 21:00;106
835;131.565;131.651;131.527;131.629;63.5025601507;73.7328017789;131.6578070429;131.5147535215;131.3717;131.2286464785;131.0855929571;0.064;0.124;2018.07.16 13:00;2018.07.16 20:00;107
836;131.551;131.617;131.512;131.563;61.5371081475;74.8207313233;131.6242780874;131.4858640437;131.34745;131.2090359563;131.0706219126;0.012;0.105;2018.07.16 12:00;2018.07.16 19:00;108
837;131.533;131.594;131.47;131.552;61.2063327251;74.8811844419;131.6190073015;131.4687786507;131.31855;131.1683213493;131.0180926985;0.019;0.124;2018.07.16 11:00;2018.07.16 18:00;109
838;131.446;131.561;131.43;131.538;60.7987173738;74.7860045093;131.5985198329;131.4453599164;131.2922;131.1390400836;130.9858801671;0.092;0.131;2018.07.16 10:00;2018.07.16 17:00;110
839;131.542;131.557;131.443;131.444;57.9826587875;74.0675458632;131.5804255823;131.4218377911;131.26325;131.1046622089;130.9460744177;-0.098;0.114;2018.07.16 09:00;2018.07.16 16:00;111
840;131.438;131.579;131.437;131.539;62.2779761412;74.7039345638;131.5782475877;131.4072487939;131.23625;131.0652512061;130.8942524123;0.101;0.142;2018.07.16 08:00;2018.07.16 15:00;112
841;131.405;131.459;131.396;131.438;59.227361722;67.0918145209;131.5510522244;131.3768511122;131.20265;131.0284488878;130.8542477756;0.033;0.063;2018.07.16 07:00;2018.07.16 14:00;113
842;131.408;131.455;131.371;131.403;58.112167535;61.3043577278;131.5196355974;131.3519177987;131.1842;131.0164822013;130.8487644026;-0.005;0.084;2018.07.16 06:00;2018.07.16 13:00;114
843;131.405;131.479;131.355;131.409;58.3721801434;58.2905761968;131.493462652;131.333406326;131.17335;131.013293674;130.853237348;0.004;0.124;2018.07.16 05:00;2018.07.16 12:00;115
844;131.418;131.564;131.385;131.405;58.253882588;57.3756132182;131.4621022403;131.3114511201;131.1608;131.0101488799;130.8594977597;-0.013;0.179;2018.07.16 04:00;2018.07.16 11:00;116
845;131.264;131.462;131.258;131.417;58.7295392207;53.2523504044;131.4434437054;131.2995718527;131.1557;131.0118281473;130.8679562946;0.153;0.204;2018.07.16 03:00;2018.07.16 10:00;117
846;131.312;131.358;131.261;131.265;54.2326706012;49.8178856323;131.4280554166;131.2900527083;131.15205;131.0140472917;130.8760445834;-0.047;0.097;2018.07.16 02:00;2018.07.16 09:00;118
847;131.232;131.329;131.206;131.313;56.0653507682;46.287314447;131.4458242708;131.3016121354;131.1574;131.0131878646;130.8689757292;0.081;0.123;2018.07.16 01:00;2018.07.16 08:00;119
848;131.101;131.298;131.096;131.216;53.0173332788;42.6771763988;131.4622379325;131.3120439663;131.16185;131.0116560337;130.8614620675;0.115;0.202;2018.07.16 00:00;2018.07.16 07:00;120
