[20190325_180708 / views.py:13410]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M5).(NumOfUnits-50000).(Bars-ALL-20190322_165334).20190322_165012.csv
slice by	through
this file	(20190325_180701).(USDJPY-M5).[sec-1.A-6.3-seq].(20190325_180708).csv
pair	USDJPY
timeframe	M5
start	2018.06.19 20:55
end	2019.03.22 10:50
bars	50000

[20190325_180709 / views.py:13479]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
165	2018.06.26 19:25	2018.06.26 19:30	2018.06.26 19:35	0.011	0.016	0.022
166	2018.06.26 19:30	2018.06.26 19:35	2018.06.26 19:40	0.016	0.022	0.013
167	2018.06.26 19:35	2018.06.26 19:40	2018.06.26 19:45	0.022	0.013	0.032
168	2018.06.26 19:55	2018.06.26 20:00	2018.06.26 20:05	0.015	0.004	0.030
169	2018.06.26 20:00	2018.06.26 20:05	2018.06.26 20:10	0.004	0.030	0.099
170	2018.06.26 20:05	2018.06.26 20:10	2018.06.26 20:15	0.030	0.099	0.035
171	2018.06.26 20:10	2018.06.26 20:15	2018.06.26 20:20	0.099	0.035	0.007
172	2018.06.26 21:20	2018.06.26 21:25	2018.06.26 21:30	0.010	0.011	0.008
173	2018.06.26 21:25	2018.06.26 21:30	2018.06.26 21:35	0.011	0.008	0.013
174	2018.06.26 22:10	2018.06.26 22:15	2018.06.26 22:20	0.010	0.001	0.008
175	2018.06.26 22:15	2018.06.26 22:20	2018.06.26 22:25	0.001	0.008	0.020
176	2018.06.26 22:20	2018.06.26 22:25	2018.06.26 22:30	0.008	0.020	0.052
177	2018.06.26 22:25	2018.06.26 22:30	2018.06.26 22:35	0.020	0.052	0.017
178	2018.06.26 23:35	2018.06.26 23:40	2018.06.26 23:45	0.021	0.003	0.015
179	2018.06.27 00:15	2018.06.27 00:20	2018.06.27 00:25	0.008	0.000	0.009
180	2018.06.27 00:55	2018.06.27 01:00	2018.06.27 01:05	0.011	0.029	0.004
181	2018.06.27 01:00	2018.06.27 01:05	2018.06.27 01:10	0.029	0.004	0.018
182	2018.06.27 01:45	2018.06.27 01:50	2018.06.27 01:55	0.002	0.002	0.007
183	2018.06.27 02:05	2018.06.27 02:10	2018.06.27 02:15	0.005	0.014	0.007
184	2018.06.27 02:10	2018.06.27 02:15	2018.06.27 02:20	0.014	0.007	0.019
185	2018.06.27 02:15	2018.06.27 02:20	2018.06.27 02:25	0.007	0.019	0.010
186	2018.06.27 02:20	2018.06.27 02:25	2018.06.27 02:30	0.019	0.010	0.002
187	2018.06.27 02:25	2018.06.27 02:30	2018.06.27 02:35	0.010	0.002	0.000
188	2018.06.27 03:35	2018.06.27 03:40	2018.06.27 03:45	0.016	0.018	0.019
189	2018.06.27 04:20	2018.06.27 04:25	2018.06.27 04:30	0.005	0.003	0.005
190	2018.06.27 04:50	2018.06.27 04:55	2018.06.27 05:00	0.022	0.005	0.037
191	2018.06.27 06:55	2018.06.27 07:00	2018.06.27 07:05	0.001	0.004	0.011
192	2018.06.27 07:25	2018.06.27 07:30	2018.06.27 07:35	0.001	0.011	0.025
193	2018.06.27 09:05	2018.06.27 09:10	2018.06.27 09:15	0.007	0.014	0.024
194	2018.06.27 09:10	2018.06.27 09:15	2018.06.27 09:20	0.014	0.024	0.015
195	2018.06.27 09:15	2018.06.27 09:20	2018.06.27 09:25	0.024	0.015	0.020
196	2018.06.27 10:50	2018.06.27 10:55	2018.06.27 11:00	0.000	0.022	0.012
197	2018.06.27 11:30	2018.06.27 11:35	2018.06.27 11:40	0.008	0.026	0.015
198	2018.06.27 11:55	2018.06.27 12:00	2018.06.27 12:05	0.031	0.029	0.013
199	2018.06.27 12:00	2018.06.27 12:05	2018.06.27 12:10	0.029	0.013	0.025
200	2018.06.27 12:05	2018.06.27 12:10	2018.06.27 12:15	0.013	0.025	0.003
201	2018.06.27 13:50	2018.06.27 13:55	2018.06.27 14:00	0.033	0.013	0.006
202	2018.06.27 13:55	2018.06.27 14:00	2018.06.27 14:05	0.013	0.006	0.032
203	2018.06.27 14:00	2018.06.27 14:05	2018.06.27 14:10	0.006	0.032	0.015
204	2018.06.27 14:05	2018.06.27 14:10	2018.06.27 14:15	0.032	0.015	0.018
205	2018.06.27 15:50	2018.06.27 15:55	2018.06.27 16:00	0.007	0.047	0.025
206	2018.06.27 16:10	2018.06.27 16:15	2018.06.27 16:20	0.041	0.064	0.000
207	2018.06.27 16:15	2018.06.27 16:20	2018.06.27 16:25	0.064	0.000	0.001
208	2018.06.27 18:30	2018.06.27 18:35	2018.06.27 18:40	0.041	0.014	0.009
209	2018.06.27 18:35	2018.06.27 18:40	2018.06.27 18:45	0.014	0.009	0.015
210	2018.06.27 19:00	2018.06.27 19:05	2018.06.27 19:10	0.017	0.020	0.030
211	2018.06.27 19:05	2018.06.27 19:10	2018.06.27 19:15	0.020	0.030	0.015
212	2018.06.27 20:20	2018.06.27 20:25	2018.06.27 20:30	0.006	0.019	0.028
213	2018.06.27 23:20	2018.06.27 23:25	2018.06.27 23:30	0.002	0.012	0.022
214	2018.06.27 23:25	2018.06.27 23:30	2018.06.27 23:35	0.012	0.022	0.012
215	2018.06.27 23:30	2018.06.27 23:35	2018.06.27 23:40	0.022	0.012	0.005
216	2018.06.27 23:35	2018.06.27 23:40	2018.06.27 23:45	0.012	0.005	0.005
217	2018.06.28 00:35	2018.06.28 00:40	2018.06.28 00:45	0.000	0.011	0.013
218	2018.06.28 00:55	2018.06.28 01:00	2018.06.28 01:05	0.016	0.031	0.004
219	2018.06.28 01:55	2018.06.28 02:00	2018.06.28 02:05	0.001	0.005	0.005
220	2018.06.28 02:00	2018.06.28 02:05	2018.06.28 02:10	0.005	0.005	0.005
221	2018.06.28 02:05	2018.06.28 02:10	2018.06.28 02:15	0.005	0.005	0.002
222	2018.06.28 06:25	2018.06.28 06:30	2018.06.28 06:35	0.000	0.030	0.004
223	2018.06.28 06:30	2018.06.28 06:35	2018.06.28 06:40	0.030	0.004	0.002
224	2018.06.28 06:35	2018.06.28 06:40	2018.06.28 06:45	0.004	0.002	0.021
225	2018.06.28 06:40	2018.06.28 06:45	2018.06.28 06:50	0.002	0.021	0.001
226	2018.06.28 07:55	2018.06.28 08:00	2018.06.28 08:05	0.020	0.031	0.009
227	2018.06.28 08:00	2018.06.28 08:05	2018.06.28 08:10	0.031	0.009	0.000
228	2018.06.28 08:20	2018.06.28 08:25	2018.06.28 08:30	0.001	0.004	0.010
229	2018.06.28 09:15	2018.06.28 09:20	2018.06.28 09:25	0.021	0.036	0.016
230	2018.06.28 09:20	2018.06.28 09:25	2018.06.28 09:30	0.036	0.016	0.029
231	2018.06.28 09:25	2018.06.28 09:30	2018.06.28 09:35	0.016	0.029	0.023
232	2018.06.28 09:30	2018.06.28 09:35	2018.06.28 09:40	0.029	0.023	0.021
233	2018.06.28 10:05	2018.06.28 10:10	2018.06.28 10:15	0.010	0.014	0.038
234	2018.06.28 10:55	2018.06.28 11:00	2018.06.28 11:05	0.012	0.005	0.021
235	2018.06.28 13:10	2018.06.28 13:15	2018.06.28 13:20	0.021	0.013	0.010
236	2018.06.28 13:35	2018.06.28 13:40	2018.06.28 13:45	0.013	0.014	0.014
237	2018.06.28 14:30	2018.06.28 14:35	2018.06.28 14:40	0.013	0.021	0.003
238	2018.06.28 15:10	2018.06.28 15:15	2018.06.28 15:20	0.012	0.016	0.024
239	2018.06.28 15:55	2018.06.28 16:00	2018.06.28 16:05	0.075	0.053	0.010
240	2018.06.28 16:25	2018.06.28 16:30	2018.06.28 16:35	0.051	0.027	0.004
241	2018.06.28 16:50	2018.06.28 16:55	2018.06.28 17:00	0.032	0.048	0.002
242	2018.06.28 17:40	2018.06.28 17:45	2018.06.28 17:50	0.043	0.011	0.032
243	2018.06.28 17:45	2018.06.28 17:50	2018.06.28 17:55	0.011	0.032	0.042
244	2018.06.28 18:30	2018.06.28 18:35	2018.06.28 18:40	0.027	0.028	0.005
245	2018.06.28 19:45	2018.06.28 19:50	2018.06.28 19:55	0.012	0.012	0.004
246	2018.06.28 21:20	2018.06.28 21:25	2018.06.28 21:30	0.038	0.025	0.036
247	2018.06.28 21:25	2018.06.28 21:30	2018.06.28 21:35	0.025	0.036	0.007
248	2018.06.28 21:30	2018.06.28 21:35	2018.06.28 21:40	0.036	0.007	0.033
249	2018.06.28 21:35	2018.06.28 21:40	2018.06.28 21:45	0.007	0.033	0.007
250	2018.06.28 21:40	2018.06.28 21:45	2018.06.28 21:50	0.033	0.007	0.004
251	2018.06.28 21:45	2018.06.28 21:50	2018.06.28 21:55	0.007	0.004	0.041
252	2018.06.28 21:50	2018.06.28 21:55	2018.06.28 22:00	0.004	0.041	0.002
253	2018.06.29 00:55	2018.06.29 01:00	2018.06.29 01:05	0.014	0.028	0.012
254	2018.06.29 01:00	2018.06.29 01:05	2018.06.29 01:10	0.028	0.012	0.002
255	2018.06.29 01:05	2018.06.29 01:10	2018.06.29 01:15	0.012	0.002	0.000
256	2018.06.29 01:40	2018.06.29 01:45	2018.06.29 01:50	0.003	0.000	0.007
257	2018.06.29 01:45	2018.06.29 01:50	2018.06.29 01:55	0.000	0.007	0.001
258	2018.06.29 01:50	2018.06.29 01:55	2018.06.29 02:00	0.007	0.001	0.015
259	2018.06.29 01:55	2018.06.29 02:00	2018.06.29 02:05	0.001	0.015	0.018
260	2018.06.29 04:00	2018.06.29 04:05	2018.06.29 04:10	0.009	0.021	0.100
261	2018.06.29 05:40	2018.06.29 05:45	2018.06.29 05:50	0.035	0.105	0.001
262	2018.06.29 05:45	2018.06.29 05:50	2018.06.29 05:55	0.105	0.001	0.074
263	2018.06.29 05:50	2018.06.29 05:55	2018.06.29 06:00	0.001	0.074	0.014
264	2018.06.29 06:55	2018.06.29 07:00	2018.06.29 07:05	0.010	0.009	0.035
265	2018.06.29 09:10	2018.06.29 09:15	2018.06.29 09:20	0.014	0.009	0.003
266	2018.06.29 09:50	2018.06.29 09:55	2018.06.29 10:00	0.001	0.013	0.025
267	2018.06.29 10:40	2018.06.29 10:45	2018.06.29 10:50	0.013	0.039	0.000
268	2018.06.29 10:45	2018.06.29 10:50	2018.06.29 10:55	0.039	0.000	0.012
269	2018.06.29 11:05	2018.06.29 11:10	2018.06.29 11:15	0.016	0.015	0.022
270	2018.06.29 11:10	2018.06.29 11:15	2018.06.29 11:20	0.015	0.022	0.011
